date;GW level [cm+MSL]
1969 07 28;306
1969 08 14;304
1969 08 28;344
1969 09 15;315
1969 09 29;307
1969 10 14;291
1969 10 28;286
1969 11 14;295
1969 11 28;270
1969 12 15;266
1969 12 29;281
1970 01 14;269
1970 01 28;290
1970 02 13;322
1970 02 27;332
1970 03 13;316
1970 03 26;316
1970 04 14;319
1970 04 28;322
1970 05 14;321
1970 05 28;319
1970 06 15;314
1970 06 29;317
1970 07 14;318
1970 07 28;319
1970 08 14;313
1970 08 28;313
1970 09 14;311
1970 09 28;310
1970 10 14;311
1970 10 28;319
1970 11 13;306
1970 11 27;300
1970 12 14;302
1970 12 28;286
1971 01 14;259
1971 01 28;291
1971 02 15;283
1971 03 01;273
1971 03 15;267
1971 03 29;263
1971 04 14;284
1971 04 28;287
1971 05 14;288
1971 05 28;290
1971 06 14;296
1971 06 28;311
1971 07 14;303
1971 07 28;299
1971 08 13;294
1971 08 27;286
1971 09 14;284
1971 09 28;278
1971 10 14;271
1971 10 28;266
1971 11 15;264
1971 11 29;256
1971 12 14;259
1971 12 28;249
1972 01 14;237
1972 01 28;251
1972 02 14;248
1972 02 28;232
1972 03 14;226
1972 03 28;244
1972 04 14;284
1972 04 28;296
1972 05 14;292
1972 05 29;299
1972 06 15;283
1972 06 28;277
1972 07 17;296
1972 07 28;323
1972 08 14;304
1972 08 28;306
1972 09 15;291
1972 09 28;284
1972 10 13;274
1972 10 27;271
1972 11 14;296
1972 11 28;306
1972 12 14;293
1973 01 02;265
1973 01 15;253
1973 01 29;244
1973 02 14;283
1973 02 28;291
1973 03 15;277
1973 03 29;271
1973 04 13;289
1973 04 27;303
1973 05 14;311
1973 05 28;303
1973 06 14;295
1973 06 28;296
1973 07 16;300
1973 07 27;298
1973 08 13;295
1973 08 28;285
1973 09 14;279
1973 09 28;279
1973 10 15;279
1973 10 29;289
1973 11 14;283
1973 11 28;289
1973 12 17;325
1974 01 02;292
1974 01 11;298
1974 01 28;299
1974 02 14;311
1974 02 28;289
1974 03 14;281
1974 03 28;296
1974 04 16;295
1974 04 29;293
1974 05 14;291
1974 05 28;290
1974 06 14;295
1974 07 01;294
1974 07 12;297
1974 07 29;300
1974 08 14;298
1974 08 28;292
1974 09 13;292
1974 09 27;294
1974 10 14;301
1974 10 28;343
1974 11 15;313
1974 11 29;349
1974 12 13;346
1974 12 24;330
1975 01 14;320
1975 01 28;325
1975 02 14;304
1975 02 28;333
1975 03 14;307
1975 03 25;296
1975 04 14;299
1975 04 29;314
1975 05 14;313
1975 05 28;307
1975 06 13;303
1975 06 27;311
1975 07 14;309
1975 07 28;308
1975 08 14;297
1975 08 28;299
1975 09 15;301
1975 09 29;297
1975 10 14;291
1975 10 28;289
1975 11 15;274
1975 11 29;308
1975 12 13;283
1975 12 27;269
1976 01 14;298
1976 01 28;300
1976 02 14;294
1976 02 28;277
1976 03 13;263
1976 03 27;256
1976 04 14;267
1976 04 27;266
1976 05 14;269
1976 05 28;272
1976 06 14;273
1976 06 28;267
1976 07 14;266
1976 07 28;268
1976 08 14;268
1976 08 28;261
1976 09 14;260
1976 09 28;281
1976 10 14;262
1976 10 28;260
1976 11 13;259
1976 11 27;258
1976 12 14;272
1976 12 28;268
1977 01 15;275
1977 01 29;283
1977 02 14;313
1977 02 28;321
1977 03 14;299
1977 03 28;300
1977 04 14;312
1977 04 28;313
1977 05 14;329
1977 05 28;313
1977 06 14;309
1977 06 28;305
1977 07 14;298
1977 07 28;299
1977 08 13;301
1977 08 29;318
1977 09 14;304
1977 09 28;294
1977 10 15;286
1977 10 29;279
1977 11 14;306
1977 11 28;331
1977 12 14;301
1977 12 28;300
1978 01 13;301
1978 01 27;299
1978 02 14;302
1978 02 28;285
1978 03 14;296
1978 03 28;323
1978 10 14;303
1978 10 28;296
1978 11 14;284
1978 11 28;274
1978 12 14;308
1978 12 28;315
1979 01 13;309
1979 01 27;281
1979 02 15;329
1979 02 28;314
1979 03 15;343
1979 03 28;329
1979 04 13;312
1979 04 27;306
1979 05 14;349
1979 05 28;316
1979 06 14;328
1979 06 28;317
1979 07 13;304
1979 07 27;299
1979 08 14;295
1979 08 28;295
1979 09 14;292
1979 09 29;284
1979 10 13;294
1979 10 27;281
1979 11 14;295
1979 11 28;281
1979 12 15;333
1979 12 29;329
1980 01 14;316
1980 01 28;295
1980 02 14;329
1980 02 28;302
1980 03 15;318
1980 03 29;289
1980 04 14;297
1980 04 28;312
1980 05 14;309
1980 05 28;303
1980 06 14;302
1980 07 14;335
1980 07 28;329
1980 08 15;348
1980 08 28;308
1980 09 15;318
1980 09 29;301
1980 10 14;310
1980 10 28;308
1980 11 15;292
1980 11 28;304
1980 12 15;289
1980 12 29;312
1981 01 14;351
1981 01 28;314
1981 02 14;343
1981 02 28;340
1981 03 14;360
1981 03 28;328
1981 04 14;319
1981 04 28;310
1981 05 14;307
1981 05 27;304
1981 06 13;310
1981 06 27;305
1981 07 14;306
1981 07 29;309
1981 08 15;306
1981 08 29;304
1981 09 14;291
1981 09 28;309
1981 10 14;316
1981 10 28;343
1981 11 14;317
1981 11 28;321
1981 12 14;324
1981 12 28;321
1982 01 14;331
1982 01 28;334
1982 02 13;322
1982 02 27;303
1982 03 13;302
1982 03 27;306
1982 04 14;306
1982 04 28;304
1982 05 14;305
1982 05 28;348
1982 06 14;303
1982 06 28;306
1982 07 14;308
1982 07 28;303
1982 08 14;303
1982 08 28;298
1982 09 15;298
1982 09 28;291
1982 10 14;292
1982 10 28;310
1982 11 13;295
1982 11 27;309
1982 12 14;323
1982 12 29;326
1983 01 14;331
1983 01 28;317
1983 02 14;330
1983 02 28;306
1983 03 14;330
1983 03 28;339
1983 04 14;332
1983 04 28;337
1983 05 14;337
1983 05 28;359
1983 06 14;328
1983 06 28;318
1983 07 14;310
1983 07 29;299
1983 08 14;298
1983 08 29;285
1983 09 14;300
1983 09 28;301
1983 10 15;292
1983 10 29;281
1983 11 14;272
1983 11 26;266
1983 12 14;292
1983 12 28;296
1984 01 14;325
1984 01 28;333
1984 02 14;337
1984 02 28;306
1984 03 14;296
1984 03 28;294
1984 04 14;306
1984 04 27;304
1984 05 14;305
1984 05 28;317
1984 06 14;326
1984 06 28;314
1984 07 14;310
1984 07 28;313
1984 08 14;300
1984 08 28;297
1984 09 14;322
1984 09 28;325
1984 10 15;341
1984 10 29;332
1984 11 14;303
1984 11 28;328
1984 12 14;299
1984 12 28;304
1985 01 14;289
1985 01 28;321
1985 02 14;312
1985 02 28;295
1985 03 14;294
1985 03 28;306
1985 04 15;320
1985 04 29;315
1985 05 14;322
1985 05 28;319
1985 06 14;325
1985 06 28;354
1985 07 13;322
1985 07 27;313
1985 08 15;312
1985 08 28;309
1985 09 13;307
1985 09 27;297
1985 10 14;285
1985 10 28;283
1985 11 14;305
1985 11 28;281
1985 12 14;291
1985 12 27;327
1986 01 14;332
1986 01 28;344
1986 02 15;294
1986 02 28;281
1986 03 14;278
1986 03 28;307
1986 04 14;319
